feature_names,importance
volume_imbalance_mean_400,172.30930683612823
wap_mean_200,224.92172079086305
total_volume_mean_200,261.5285106420517
bid_spread_mean_200,324.4051479399204
total_volume_mean_400,373.4057443141937
volume_imbalance_mean_300,425.5790356516838
wap_mean_300,485.99404076337817
bid_spread_mean_300,552.3413310825824
trade_size_sum_300,606.5612468838692
volume_imbalance_mean_200,658.1078236818314
wap_mean,761.6708741307259
wap_balance_mean_400,785.8651625990867
trade_order_count_mean_300,849.9754872560501
trade_order_count_mean_200,871.1445899367333
ask_spread_mean_300,947.6982051789761
bid_spread_mean,1076.040234029293
total_volume_mean_300,1124.6455150663853
bid_spread_mean_400,1238.438144338131
trade_size_sum_400,1347.8816994667054
trade_size_sum_200,1514.7396583378315
trade_size_sum,1626.6899954438209
wap_mean_400,1797.3731963515281
wap_balance_mean_300,2005.2451879262924
wap_balance_mean,2327.820828187466
ask_spread_mean_200,2470.6547887742518
price_spread_mean_400,2844.0454129815103
trade_order_count_mean_400,3203.610825240612
wap_balance_mean_200,3531.5410090327264
trade_seconds_in_bucket_count_unique_200,3635.4937762618065
trade_seconds_in_bucket_count_unique_300,3798.5960094809534
price_spread_mean_300,4460.342183458805
trade_seconds_in_bucket_count_unique,4910.384609889984
ask_spread_mean_400,5121.824876654148
trade_log_return_realized_volatility_300,5338.0513623178
total_volume_mean,5872.950523936748
trade_log_return_realized_volatility_200,6386.710867261887
stock_id_target_enc,6668.4268656790255
trade_seconds_in_bucket_count_unique_400,7349.327104955912
trade_order_count_mean,8501.471034145356
price_spread_mean,9854.59414063692
volume_imbalance_mean,10484.656314337253
ask_spread_mean,12508.028813374043
price_spread_mean_200,16003.004212617874
log_return2_realized_volatility_300,24492.583360981942
trade_log_return_realized_volatility,26551.288939392565
trade_log_return_realized_volatility_400,30117.57741510868
log_return_realized_volatility_400,34609.02555677295
log_return2_realized_volatility_400,47195.330427265166
log_return2_realized_volatility_200,58277.40258709192
stock_id,78703.38140799999
log_return2_realized_volatility,186770.9761121869
log_return_realized_volatility_300,245309.2707804799
log_return_realized_volatility_200,781032.1464722634
log_return_realized_volatility,2750288.5275419713
